,URL in sitemap
0,https://www.allrecipes.com/recipe/9614/candied-christmas-cookies/
1,https://www.allrecipes.com/recipe/9802/monster-cookies-i/
2,https://www.allrecipes.com/recipe/9803/peanut-blossoms-iii/
3,https://www.allrecipes.com/recipe/9804/urban-legend-chocolate-chip-cookies/
4,https://www.allrecipes.com/recipe/9805/nice-spice-cookies/
5,https://www.allrecipes.com/recipe/9806/peanut-butter-kiss-cookies/
6,https://www.allrecipes.com/recipe/9807/raspberry-chocolate-supremes/
7,https://www.allrecipes.com/recipe/9808/caramel-pecan-cookies/
8,https://www.allrecipes.com/recipe/9809/rosettes-i/
9,https://www.allrecipes.com/recipe/9812/monster-cookies-iii/
10,https://www.allrecipes.com/recipe/9811/potato-chip-cookies-i/
11,https://www.allrecipes.com/recipe/9813/potato-chip-cookies-ii/
12,https://www.allrecipes.com/recipe/9814/sugar-free-rugelach/
13,https://www.allrecipes.com/recipe/9819/easy-chocolate-butterscotch-cookies/
14,https://www.allrecipes.com/recipe/9828/sugarless-cookies-ii/
15,https://www.allrecipes.com/recipe/9829/no-bake-peanut-butter-cookies-i/
16,https://www.allrecipes.com/recipe/9817/apricot-kolaches/
17,https://www.allrecipes.com/recipe/9816/anzac-biscuits-australian-coconut-oat-cookies/
18,https://www.allrecipes.com/recipe/9820/double-nut-chocolate-chip-cookies/
19,https://www.allrecipes.com/recipe/9810/monster-cookies-ii/
20,https://www.allrecipes.com/recipe/9815/cake-mix-cookies-i/
21,https://www.allrecipes.com/recipe/9821/white-chocolate-chunk-cookies/
22,https://www.allrecipes.com/recipe/9822/pfeffernusse/
23,https://www.allrecipes.com/recipe/9823/oatmeal-raisin-cookies-ii/
24,https://www.allrecipes.com/recipe/9824/one-and-a-half-minute-cookies/
25,https://www.allrecipes.com/recipe/9825/peanut-butter-shortbread-cookies/
26,https://www.allrecipes.com/recipe/9826/italian-cookies-i/
27,https://www.allrecipes.com/recipe/9841/applesauce-cocoa-cookies/
28,https://www.allrecipes.com/recipe/9827/chocolate-chocolate-chip-cookies-i/
29,https://www.allrecipes.com/recipe/9830/peanut-butter-chocolate-chip-cookies-from-heaven/
30,https://www.allrecipes.com/recipe/9831/lindas-awesome-brownies/
31,https://www.allrecipes.com/recipe/9832/no-bake-cookies-i/
32,https://www.allrecipes.com/recipe/9833/better-than-sex-cookies/
33,https://www.allrecipes.com/recipe/9834/light-and-chewy-cake-cookies/
34,https://www.allrecipes.com/recipe/9835/white-chocolate-macadamia-nut-cookies-i/
35,https://www.allrecipes.com/recipe/9836/speculaas/
36,https://www.allrecipes.com/recipe/9863/mrs-fields-cookie-recipe-i/
37,https://www.allrecipes.com/recipe/9837/apple-cookies/
38,https://www.allrecipes.com/recipe/9839/soft-sugar-cookies-i/
39,https://www.allrecipes.com/recipe/9842/lemon-bars-i/
40,https://www.allrecipes.com/recipe/9818/arny-cookies/
41,https://www.allrecipes.com/recipe/9843/chocolate-mexican-wedding-cookies/
42,https://www.allrecipes.com/recipe/9844/old-fashion-oatmeal-cookies-ii/
43,https://www.allrecipes.com/recipe/9979/chocolate-covered-cherry-cookies-ii/
44,https://www.allrecipes.com/recipe/9845/peanut-crunch-bars/
45,https://www.allrecipes.com/recipe/9846/no-bake-choco-peanut-oatmeal-cookies/
46,https://www.allrecipes.com/recipe/9847/meringue-cookies/
47,https://www.allrecipes.com/recipe/9849/forgotten-cookies-i/
48,https://www.allrecipes.com/recipe/9848/chocolate-toffee-cookies-i/
49,https://www.allrecipes.com/recipe/9850/meringue-kisses-i/
50,https://www.allrecipes.com/recipe/9851/pfeffernuesse-cookie-mix/
51,https://www.allrecipes.com/recipe/9852/no-bake-cereal-cookies/
52,https://www.allrecipes.com/recipe/9908/waffle-iron-chocolate-cookies/
53,https://www.allrecipes.com/recipe/9853/chocolate-crinkles-i/
54,https://www.allrecipes.com/recipe/9854/white-chocolate-macadamia-nut-cookies-ii/
55,https://www.allrecipes.com/recipe/9856/peanut-butter-crispies-i/
56,https://www.allrecipes.com/recipe/9855/special-k-cookies/
57,https://www.allrecipes.com/recipe/9857/peppermint-meringues/
58,https://www.allrecipes.com/recipe/9910/one-bowl-brownies/
59,https://www.allrecipes.com/recipe/9858/forgotten-party-cookies/
60,https://www.allrecipes.com/recipe/9859/unbaked-chocolate-oatmeal-cookies/
61,https://www.allrecipes.com/recipe/9860/chocolate-scotcheroo-bars/
62,https://www.allrecipes.com/recipe/9861/chocolate-crinkles-ii/
63,https://www.allrecipes.com/recipe/9864/cracked-sugar-cookies-i/
64,https://www.allrecipes.com/recipe/9865/koulourakia-i/
65,https://www.allrecipes.com/recipe/9866/carrot-cookies-i/
66,https://www.allrecipes.com/recipe/9867/sour-cream-cut-outs/
67,https://www.allrecipes.com/recipe/9868/wine-drop-cookies/
68,https://www.allrecipes.com/recipe/9869/peanut-butter-cornflake-crunch-bars/
69,https://www.allrecipes.com/recipe/9870/easy-sugar-cookies/
70,https://www.allrecipes.com/recipe/9871/trillionaire-cookies/
71,https://www.allrecipes.com/recipe/9872/evelyns-rolled-sugar-cookies/
72,https://www.allrecipes.com/recipe/9873/annemaries-lemon-bars/
73,https://www.allrecipes.com/recipe/9980/peanut-butter-oatmeal-cookies/
74,https://www.allrecipes.com/recipe/9874/chocolate-mint-brownies/
75,https://www.allrecipes.com/recipe/9981/crisp-oatmeal-cookies/
76,https://www.allrecipes.com/recipe/9983/carl-reiner-cookies/
77,https://www.allrecipes.com/recipe/9984/meringue-kisses-ii/
78,https://www.allrecipes.com/recipe/9875/soft-whole-wheat-sugar-cookies/
79,https://www.allrecipes.com/recipe/9876/chocolate-filled-bon-bons/
80,https://www.allrecipes.com/recipe/9985/peanut-butter-nuggets/
81,https://www.allrecipes.com/recipe/9877/gourmet-shells/
82,https://www.allrecipes.com/recipe/9878/margarita-balls-i/
83,https://www.allrecipes.com/recipe/9879/mexican-coffee-balls/
84,https://www.allrecipes.com/recipe/9880/chinese-chews-i/
85,https://www.allrecipes.com/recipe/9881/chocolate-covered-cherry-cookies-i/
86,https://www.allrecipes.com/recipe/9862/stained-glass-window-cookies/
87,https://www.allrecipes.com/recipe/9986/chocolate-peanut-butter-cup-cookies/
88,https://www.allrecipes.com/recipe/9882/old-fashioned-soft-sugar-cookies/
89,https://www.allrecipes.com/recipe/9884/cappuccino-brownies/
90,https://www.allrecipes.com/recipe/9885/chocolate-wafers/
91,https://www.allrecipes.com/recipe/9886/no-bake-chocolate-cookies-i/
92,https://www.allrecipes.com/recipe/9887/buttertart-squares/
93,https://www.allrecipes.com/recipe/9888/sweet-marie-bars/
94,https://www.allrecipes.com/recipe/9889/seven-layer-bars/
95,https://www.allrecipes.com/recipe/9890/frozen-strawberry-squares/
96,https://www.allrecipes.com/recipe/9892/food-for-the-gods/
97,https://www.allrecipes.com/recipe/9893/joe-froggers/
98,https://www.allrecipes.com/recipe/9894/oatmeal-crispies-i/
99,https://www.allrecipes.com/recipe/9895/prize-winning-sugar-cookies/
100,https://www.allrecipes.com/recipe/9905/easy-soda-cracker-bars/
